Accel_x,Accel_y,Accel_z
0.398,-1.247,0.853
0.417,-1.261,0.857
0.456,-1.3,0.856
0.478,-1.362,0.852
0.516,-1.393,0.844
0.55,-1.459,0.829
0.563,-1.48,0.821
0.588,-1.505,0.822
0.593,-1.501,0.834
0.61,-1.498,0.843
0.615,-1.488,0.866
0.616,-1.484,0.895
0.603,-1.469,0.913
0.596,-1.454,0.939
0.585,-1.445,0.958
0.591,-1.446,0.963
0.602,-1.454,0.968
0.628,-1.461,0.966
0.662,-1.484,0.95
0.68,-1.499,0.923
0.718,-1.521,0.908
0.739,-1.536,0.878
0.777,-1.537,0.854
0.821,-1.528,0.841
0.842,-1.506,0.81
0.886,-1.49,0.796
0.92,-1.452,0.764
0.935,-1.424,0.734
0.966,-1.35,0.725
0.978,-1.31,0.708
0.987,-1.208,0.699
0.99,-1.106,0.684
0.993,-1.044,0.675
0.989,-0.873,0.669
0.989,-0.76,0.7
0.975,-0.472,0.726
0.957,-0.165,0.778
0.897,-0.003,0.832
0.819,0.335,0.861
0.773,0.716,0.93
0.659,0.922,0.972
0.586,1.333,1.05
0.428,1.512,1.1
0.323,1.85,1.149
0.077,2.009,1.175
-0.195,2.243,1.196
-0.318,2.343,1.213
-0.51,2.484,1.214
-0.586,2.552,1.206
-0.72,2.568,1.203
-0.854,2.601,1.22
-0.919,2.623,1.289
-1.055,2.664,1.336
-1.114,2.665,1.421
-1.208,2.65,1.475
-1.275,2.597,1.483
-1.307,2.505,1.457
-1.307,2.447,1.384
-1.277,2.327,1.288
-1.224,2.202,1.228
-1.196,2.013,1.095
-1.136,2.023,1.022
-1.104,1.912,0.881
-1.055,1.861,0.738
-1.025,1.798,0.668
-0.999,1.76,0.631
-0.888,1.615,0.624
-0.895,1.524,0.46
-0.828,1.494,0.391
-0.671,1.383,0.351
-0.597,1.297,0.284
-0.449,1.243,0.275
-0.375,1.129,0.273
-0.248,1.085,0.297
-0.103,0.982,0.325
-0.025,0.909,0.392
0.12,0.79,0.426
0.186,0.676,0.508
0.313,0.616,0.61
0.426,0.529,0.656
0.474,0.491,0.748
0.564,0.416,0.793
0.592,0.386,0.869
0.629,0.391,0.904
0.636,0.445,0.987
0.62,0.468,1.078
0.549,0.607,1.077
0.529,0.687,1.228
0.49,0.655,1.362
0.369,0.775,1.275
0.342,0.801,1.303
0.312,0.809,1.296
0.277,0.793,1.228
0.225,0.795,1.189
0.205,0.785,1.106
0.165,0.802,1.061
0.146,0.795,1.002
0.121,0.808,0.932
0.093,0.819,0.919
0.081,0.808,0.889
0.068,0.773,0.887
0.075,0.712,0.846
0.078,0.735,0.993
0.102,0.69,0.879
0.093,0.619,0.879
0.101,0.616,0.905
0.134,0.593,0.929
0.146,0.563,0.965
0.162,0.568,1.043
0.188,0.528,1.114
0.184,0.482,1.161
0.236,-0.939,0.881
0.26,-0.969,0.898
0.282,-0.996,0.939
0.291,-1.015,0.973
0.306,-1.038,0.995
0.305,-1.051,1.015
0.31,-1.062,1.003
0.321,-1.081,1.026
0.326,-1.082,1.037
0.32,-1.074,1.042
0.316,-1.059,1.063
0.316,-1.051,1.083
